Middle Park,-37.850694012,144.962585425,316
Lower Plenty,-37.730231448,145.119691235,315
Riddells Creek,-37.456377482,144.681041125,314
Clyde North,-38.101835190,145.329855121,313
Beaconsfield Upper,-37.999148491,145.416726019,312
Alphington,-37.779309832,145.028417804,311
Mount Clear,-37.601108689,143.867994113,311
Point Lonsdale,-38.275854512,144.612773932,311
Mount Helen,-37.625083168,143.881568584,305
Wonga Park,-37.747534405,145.276480427,304
Myrtleford,-36.556555034,146.728928175,302
Spotswood,-37.828455394,144.878179380,300
