Cape Schanck,-38.46063111,144.897103,774721,95,11378,11460,11054,76,11041,,,
Cape Woolamai,-38.52675907,145.3354986,371831,445,3048,11737,39899,101,40076,,,
Capel Sound,-38.37026103,144.8757165,386134,625,776,1791,1358,63,1750,,,
Caramut,-37.95831122,142.519039,1188111,9,29225,44869,46152,40,154274,,,
Cardigan,-37.52990002,143.7512119,582138,29,6689,3723,9181,40,81209,,,
Cardigan Village,-37.51634607,143.7093569,413816,49,10519,7404,13084,40,84262,,,
Cardinia,-38.14305163,145.4217183,424143,14,7195,7604,9129,79,7730,,,
Cardross,-34.29329912,142.144403,537222,54,4479,9266,10012,50,430796,,,
Carisbrook,-37.04421149,143.8157007,325898,49,6919,6676,22846,40,89260,,,
Carlisle River,-38.56234433,143.390234,258000,3,29665,29842,42418,40,71800,,,
Carlsruhe,-37.28451291,144.5199829,733942,26,5762,6863,5820,50,37585,,,
Carlton,-37.79809593,144.9699371,1115191,291,200,427,286,9,352,,,
Carlton North,-37.78571626,144.9721974,1125213,602,229,1072,737,19,822,,,
Carnegie,-37.89382896,145.0553779,929249,708,421,922,1210,30,785,,,
Caroline Springs,-37.73303779,144.7370253,460111,2606,761,1119,1126,39,2460,,,
Carpendeit,-38.383869,143.2281053,540333,3,15558,18207,18220,40,83887,,,
Carrajung,-38.37265425,146.7122711,520643,14,22852,23269,26990,80,110827,,,
Carrajung Lower,-38.418554,146.726554,780000,1,15967,16744,31325,80,113651,,,
Carrum,-38.07674226,145.1282805,561593,332,587,1705,3325,55,1727,,,
Carrum Downs,-38.10256337,145.1841515,384946,2296,594,1017,1638,64,1134,,,
Carwarp,-34.4589171,142.203402,305000,4,16925,28210,29143,50,412708,,,
Castella,-37.51989799,145.4224683,576857,7,7476,26991,17016,58,30164,,,
Casterton,-37.58802034,141.3986723,362182,11,894,57975,954,40,386420,,,
Castle Donnington,-35.421406,143.603054,320000,1,9858,9903,9972,50,253342,,,
Castlemaine,-37.06480838,144.2169977,471287,839,1038,28973,1173,50,72891,,,
Catani,-38.1963118,145.6193668,501600,5,7304,13771,18217,80,17749,,,
Caulfield,-37.88370245,145.0278028,1173960,239,346,1124,1113,28,462,,,
Caulfield East,-37.88322636,145.046201,973766,64,573,687,701,27,699,,,
